ConceptFood,Verbs,Top 3 Verbs,Antonyms
edible fruit,"[('mash', 1)]","[('mash', 1), (None, -1), (None, -1)]",[]
foodstuff,"[('mix', 2), ('combine', 2), ('add', 2), ('stir', 2), ('brown', 1), ('melt', 1)]","[('mix', 2), ('combine', 2), ('add', 2)]","['segregate', 'take_away', 'subtract']"
flavorer,"[('mix', 5), ('combine', 1), ('brush', 1)]","[('mix', 5), ('combine', 1), ('brush', 1)]",['segregate']
spice,"[('mix', 3), ('combine', 1)]","[('mix', 3), ('combine', 1), (None, -1)]",['segregate']
concoction,"[('heat', 1), ('add', 1), ('cook', 1), ('start', 1), ('see', 1), ('release', 1), ('note', 1), ('use', 2), ('scoop', 1), ('yield', 2), ('help', 2), ('create', 1), ('reduce', 1), ('bake', 1), ('toast', 1), ('firm', 1), ('collapse', 1)]","[('use', 2), ('yield', 2), ('help', 2)]","['coldness', 'anestrus', 'cool', 'cool', 'take_away', 'subtract', 'middle', 'finish', 'end', 'end', 'end', 'stop', 'stop', 'hold', 'confine', 'block', 'freeze', 'ignore', 'stand', 'survive', 'blow_up', 'oxidize', 'oxidise', 'expand', 'gain']"
cut,"[('flip', 1), ('cook', 1), ('be', 1), ('bake', 1), ('toast', 1), ('help', 1), ('firm', 1), ('collapse', 1)]","[('flip', 1), ('cook', 1), ('be', 1)]",['differ']
cake,"[('garnish', 1), ('note', 2), ('use', 4), ('scoop', 2), ('yield', 4)]","[('use', 4), ('yield', 4), ('note', 2)]","['ignore', 'stand', 'survive']"
garnish,"[('garnish', 1)]","[('garnish', 1), (None, -1), (None, -1)]",[]
edible nut,"[('use', 1), ('chop', 1)]","[('use', 1), ('chop', 1), (None, -1)]",[]
sweetening,"[('use', 1), ('chop', 1)]","[('use', 1), ('chop', 1), (None, -1)]",[]
punch,"[('note', 2), ('use', 4), ('scoop', 2), ('yield', 4)]","[('use', 4), ('yield', 4), ('note', 2)]","['ignore', 'stand', 'survive']"
dairy product,"[('combine', 2), ('sauté', 1), ('add', 1), ('stir', 1), ('melt', 1), ('mix', 2), ('brush', 2), ('place', 1), ('spoon', 1), ('bake', 1), ('be', 1), ('start', 1), ('brown', 1)]","[('combine', 2), ('mix', 2), ('brush', 2)]","['take_away', 'subtract', 'segregate', 'divest', 'differ', 'middle', 'finish', 'end', 'end', 'end', 'stop', 'stop']"
food,"[('combine', 2), ('sauté', 1), ('add', 1), ('stir', 1), ('melt', 1), ('mix', 2), ('brush', 2), ('place', 1), ('spoon', 1), ('bake', 1), ('be', 1), ('start', 1), ('brown', 1)]","[('combine', 2), ('mix', 2), ('brush', 2)]","['take_away', 'subtract', 'segregate', 'divest', 'differ', 'middle', 'finish', 'end', 'end', 'end', 'stop', 'stop']"
vegetable,"[('combine', 1), ('sauté', 1)]","[('combine', 1), ('sauté', 1), (None, -1)]",[]
cruciferous vegetable,"[('mix', 1)]","[('mix', 1), (None, -1), (None, -1)]",['segregate']
root vegetable,"[('mix', 1)]","[('mix', 1), (None, -1), (None, -1)]",['segregate']
solanaceous vegetable,"[('mix', 1)]","[('mix', 1), (None, -1), (None, -1)]",['segregate']
bread,"[('leave', 1), ('attach', 1), ('place', 2), ('cut', 1), ('make', 2), ('stay', 1), ('push', 1), ('compact', 1), ('press', 1), ('mix', 1), ('brush', 1), ('bake', 2), ('toast', 2), ('help', 2), ('firm', 2), ('collapse', 2), ('spoon', 1), ('slide', 1), ('top', 1)]","[('place', 2), ('make', 2), ('bake', 2)]","['arrive', 'enter', 'disinherit', 'detach', 'detach', 'divest', 'switch_on', 'expand', 'uncut', 'uncut', 'untrimmed', 'unmown', 'uncut', 'unmake', 'break', 'change', 'move', 'depart', 'pull', 'decompress', 'loose', 'segregate', 'bottom', 'bottom']"
nutriment,"[('leave', 1), ('attach', 1), ('place', 1), ('help', 1), ('create', 1), ('reduce', 1)]","[('leave', 1), ('attach', 1), ('place', 1)]","['arrive', 'enter', 'disinherit', 'detach', 'detach', 'divest', 'blow_up', 'oxidize', 'oxidise', 'expand', 'gain']"
meat,"[('push', 1), ('compact', 1), ('make', 1), ('press', 1)]","[('push', 1), ('compact', 1), ('make', 1)]","['pull', 'decompress', 'loose', 'unmake', 'break']"
meal,"[('help', 1), ('create', 1), ('reduce', 1)]","[('help', 1), ('create', 1), ('reduce', 1)]","['blow_up', 'oxidize', 'oxidise', 'expand', 'gain']"
herb,"[('mix', 1), ('brush', 1), ('top', 1), ('slice', 1), ('serve', 1)]","[('mix', 1), ('brush', 1), ('top', 1)]","['segregate', 'bottom', 'bottom']"
hot pepper,"[('place', 1), ('spoon', 1), ('slide', 2), ('top', 2), ('bake', 1), ('be', 1), ('start', 1), ('brown', 1)]","[('slide', 2), ('top', 2), ('place', 1)]","['divest', 'bottom', 'bottom', 'differ', 'middle', 'finish', 'end', 'end', 'end', 'stop', 'stop']"
dish,"[('place', 1), ('spoon', 1), ('slide', 2), ('top', 2), ('bake', 1), ('be', 1), ('start', 1), ('brown', 1)]","[('slide', 2), ('top', 2), ('place', 1)]","['divest', 'bottom', 'bottom', 'differ', 'middle', 'finish', 'end', 'end', 'end', 'stop', 'stop']"
