Container,Foods,Top 5 Foods,Number of Foods Contained,ConceptFoods,Top 5 ConceptFoods,Number of ConceptFoods Contained
pan,"{'batter': {'ConceptFoods': ['concoction'], 'Counter': 2}, 'pancake_batter': {'ConceptFoods': ['batter'], 'Counter': 1}, 'pancake': {'ConceptFoods': ['cake'], 'Counter': 1}, 'side': {'ConceptFoods': ['cut'], 'Counter': 1}}","{'batter': {'ConceptFoods': ['concoction'], 'Counter': 2}, 'pancake_batter': {'ConceptFoods': ['batter'], 'Counter': 1}, 'pancake': {'ConceptFoods': ['cake'], 'Counter': 1}, 'side': {'ConceptFoods': ['cut'], 'Counter': 1}}",5,"{'concoction': {'Foods': ['batter'], 'Counter': 2}, 'batter': {'Foods': ['pancake_batter'], 'Counter': 1}, 'cake': {'Foods': ['pancake'], 'Counter': 1}, 'cut': {'Foods': ['side'], 'Counter': 1}}","{'concoction': {'Foods': ['batter'], 'Counter': 2}, 'batter': {'Foods': ['pancake_batter'], 'Counter': 1}, 'cake': {'Foods': ['pancake'], 'Counter': 1}, 'cut': {'Foods': ['side'], 'Counter': 1}}",5
pot,"{'butter': {'ConceptFoods': ['dairy product', 'food'], 'Counter': 1}, 'onion': {'ConceptFoods': ['vegetable'], 'Counter': 1}, 'flour': {'ConceptFoods': ['foodstuff'], 'Counter': 1}}","{'butter': {'ConceptFoods': ['dairy product', 'food'], 'Counter': 1}, 'onion': {'ConceptFoods': ['vegetable'], 'Counter': 1}, 'flour': {'ConceptFoods': ['foodstuff'], 'Counter': 1}}",3,"{'dairy product': {'Foods': ['butter'], 'Counter': 1}, 'food': {'Foods': ['butter'], 'Counter': 1}, 'vegetable': {'Foods': ['onion'], 'Counter': 1}, 'foodstuff': {'Foods': ['flour'], 'Counter': 1}}","{'dairy product': {'Foods': ['butter'], 'Counter': 1}, 'food': {'Foods': ['butter'], 'Counter': 1}, 'vegetable': {'Foods': ['onion'], 'Counter': 1}, 'foodstuff': {'Foods': ['flour'], 'Counter': 1}}",4
baking dish,"{'bun': {'ConceptFoods': ['bread'], 'Counter': 3}, 'dish': {'ConceptFoods': ['nutriment'], 'Counter': 1}, 'bread': {'ConceptFoods': ['starches', 'baked goods'], 'Counter': 1}, 'cut': {'ConceptFoods': ['meat'], 'Counter': 1}, 'filling': {'ConceptFoods': ['concoction'], 'Counter': 1}, 'mess': {'ConceptFoods': ['nutriment', 'meal'], 'Counter': 1}}","{'bun': {'ConceptFoods': ['bread'], 'Counter': 3}, 'dish': {'ConceptFoods': ['nutriment'], 'Counter': 1}, 'bread': {'ConceptFoods': ['starches', 'baked goods'], 'Counter': 1}, 'cut': {'ConceptFoods': ['meat'], 'Counter': 1}, 'filling': {'ConceptFoods': ['concoction'], 'Counter': 1}}",8,"{'bread': {'Foods': ['bun'], 'Counter': 3}, 'nutriment': {'Foods': ['dish', 'mess'], 'Counter': 2}, 'starches': {'Foods': ['bread'], 'Counter': 1}, 'baked goods': {'Foods': ['bread'], 'Counter': 1}, 'meat': {'Foods': ['cut'], 'Counter': 1}, 'concoction': {'Foods': ['filling'], 'Counter': 1}, 'meal': {'Foods': ['mess'], 'Counter': 1}}","{'bread': {'Foods': ['bun'], 'Counter': 3}, 'nutriment': {'Foods': ['dish', 'mess'], 'Counter': 2}, 'starches': {'Foods': ['bread'], 'Counter': 1}, 'baked goods': {'Foods': ['bread'], 'Counter': 1}, 'meat': {'Foods': ['cut'], 'Counter': 1}}",10
baking sheet,{},,0,{},,0
grill,{},,0,{},,0
blender,{},,0,{},,0
cupcake tin,{},,0,{},,0
cutting board,{},,0,{},,0
bowl,"{'bun': {'ConceptFoods': ['bread'], 'Counter': 3}, 'butter': {'ConceptFoods': ['dairy product', 'food'], 'Counter': 2}, 'garlic': {'ConceptFoods': ['flavorer'], 'Counter': 2}, 'banana': {'ConceptFoods': ['edible fruit'], 'Counter': 1}, 'egg': {'ConceptFoods': ['foodstuff'], 'Counter': 1}, 'vanilla': {'ConceptFoods': ['flavorer'], 'Counter': 1}, 'cinnamon': {'ConceptFoods': ['spice'], 'Counter': 1}, 'parsley': {'ConceptFoods': ['herb'], 'Counter': 1}, 'garlic_butter': {'ConceptFoods': ['spread'], 'Counter': 1}, 'side': {'ConceptFoods': ['cut'], 'Counter': 1}, 'filling': {'ConceptFoods': ['concoction'], 'Counter': 1}}","{'bun': {'ConceptFoods': ['bread'], 'Counter': 3}, 'butter': {'ConceptFoods': ['dairy product', 'food'], 'Counter': 2}, 'garlic': {'ConceptFoods': ['flavorer'], 'Counter': 2}, 'banana': {'ConceptFoods': ['edible fruit'], 'Counter': 1}, 'egg': {'ConceptFoods': ['foodstuff'], 'Counter': 1}}",15,"{'flavorer': {'Foods': ['vanilla', 'garlic'], 'Counter': 3}, 'bread': {'Foods': ['bun'], 'Counter': 3}, 'dairy product': {'Foods': ['butter'], 'Counter': 2}, 'food': {'Foods': ['butter'], 'Counter': 2}, 'edible fruit': {'Foods': ['banana'], 'Counter': 1}, 'foodstuff': {'Foods': ['egg'], 'Counter': 1}, 'spice': {'Foods': ['cinnamon'], 'Counter': 1}, 'herb': {'Foods': ['parsley'], 'Counter': 1}, 'spread': {'Foods': ['garlic_butter'], 'Counter': 1}, 'cut': {'Foods': ['side'], 'Counter': 1}, 'concoction': {'Foods': ['filling'], 'Counter': 1}}","{'flavorer': {'Foods': ['vanilla', 'garlic'], 'Counter': 3}, 'bread': {'Foods': ['bun'], 'Counter': 3}, 'dairy product': {'Foods': ['butter'], 'Counter': 2}, 'food': {'Foods': ['butter'], 'Counter': 2}, 'edible fruit': {'Foods': ['banana'], 'Counter': 1}, 'foodstuff': {'Foods': ['egg'], 'Counter': 1}}",17
plate,{},,0,{},,0
